suite,kernel,njit_variant,fastmath,boundscheck,style,baseline_llvm,baseline_gflops,suggested_llvm,suggested_gflops,reason,speedup
polybench,correlation,njit_boundscheck,False,True,transcendental,llvm_O3_loopvec,1.4704207253728916,llvm_O3_novec,1.4803120559031493,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0067268709965642
polybench,correlation,njit_default,False,False,transcendental,llvm_O3_loopvec,1.8043573079954025,llvm_O3_novec,1.7946712541047207,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",0.9946318537643507
polybench,correlation,njit_fastmath,True,False,transcendental,llvm_O3_loopvec,1.496091837144307,llvm_O3_novec,1.5054006073416222,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0062220580088743
polybench,correlation,njit_fastmath_boundscheck,True,True,transcendental,llvm_O3_loopvec,1.3438423283945082,llvm_O3_novec,1.3538861174609382,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0074739341470433
polybench,gemm,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,1.859372192843348,llvm_O3_vec_forcewidth2,2.038775533883592,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0964859761433243
polybench,gemm,njit_default,False,False,vectorizable,llvm_O3_loopvec,12.353060369120454,llvm_O3_loopvec,12.353060369120454,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,gemm,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,13.723124348258379,llvm_O3_loopvec,13.723124348258379,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,gemm,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,1.9925498555918708,llvm_O3_vec_forcewidth2,2.184489297212994,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0963285516206616
polybench,gesummv,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,2.1799826277390113,llvm_O3_vec_forcewidth2,3.4303835415923762,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.573582971691031
polybench,gesummv,njit_default,False,False,vectorizable,llvm_O3_loopvec,3.3311367373961724,llvm_O3_loopvec,3.3311367373961724,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,gesummv,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,3.475955936007196,llvm_O3_loopvec,3.475955936007196,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,gesummv,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,3.4603629831105294,llvm_O3_vec_forcewidth2,3.3418285830813694,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9657450965093237
polybench,jacobi_2d,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,2.736946670186108,llvm_O3_vec_forcewidth2,2.72634883986582,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9961278637849501
polybench,jacobi_2d,njit_default,False,False,vectorizable,llvm_O3_loopvec,8.496641460939307,llvm_O3_loopvec,8.496641460939307,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,jacobi_2d,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,8.513857148966443,llvm_O3_loopvec,8.513857148966443,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,jacobi_2d,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,2.739943452997224,llvm_O3_vec_forcewidth2,2.7422013346187795,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.000824061394072
polybench,mvt,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,1.0725369290339095,llvm_O3_vec_forcewidth2,1.149663071817962,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0719100113909588
polybench,mvt,njit_default,False,False,vectorizable,llvm_O3_loopvec,1.1188987951235425,llvm_O3_loopvec,1.1188987951235425,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,mvt,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,1.1781483573074898,llvm_O3_loopvec,1.1781483573074898,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,mvt,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,1.1241756141986505,llvm_O3_vec_forcewidth2,1.1212698558315952,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9974152095719256
